,Code,class_score,quiz_score,is_highschool,specialty
296,87,0,0,0,Business
297,89,0,0,0,Business
298,92,0,0,0,Design
299,95,0,0,0,Business
300,97,0,0,0,Business
301,98,0,0,1,Design
302,103,0,0,0,Design
303,107,0,0,0,Business
304,114,0,0,0,Business
305,116,0,0,0,Design
306,117,0,0,0,Technology
307,120,0,0,1,Technology
308,121,0,0,0,Design
309,122,0,0,1,Business
310,125,0,0,0,Design
311,127,0,0,0,Technology
312,130,0,0,0,Business
313,132,0,0,0,Technology
314,134,0,0,0,Business
315,136,0,0,0,Business
316,144,0,0,0,Technology
317,145,0,0,0,Design
318,147,0,0,0,Business
319,148,0,0,0,Design
320,150,0,0,0,Business
321,157,0,0,0,Technology
322,158,0,0,0,Design
323,159,0,0,0,Design
324,162,0,0,0,Design
325,167,0,0,0,Business
326,170,0,0,1,Business
327,171,0,0,0,Business
328,180,0,0,0,Design
329,184,0,0,0,Technology
330,190,0,0,0,Design
331,195,0,0,0,Business
332,196,0,0,0,Technology
333,197,0,0,0,Design
334,201,0,0,0,Technology
335,202,0,0,0,Business
336,205,0,0,0,Design
337,208,0,0,0,Business
338,210,0,0,0,Business
339,212,0,0,0,Technology
340,216,0,0,0,Design
341,220,0,0,0,Business
342,224,0,0,1,Design
343,229,0,0,0,Design
344,233,0,0,0,Business
345,234,0,0,0,Business
346,236,0,0,0,Design
347,241,0,0,0,Technology
348,242,0,0,0,Design
349,245,0,0,0,Design
350,250,0,0,0,Design
351,253,0,0,0,Technology
352,254,0,0,0,Design
353,256,0,0,0,Technology
354,257,0,0,0,Technology
355,260,0,0,0,Business
356,266,0,0,1,Business
357,267,0,0,0,Design
358,271,0,0,0,Business
359,272,0,0,0,Technology
360,273,0,0,0,Design
361,278,0,0,0,Design
362,281,0,0,1,Business
363,282,0,0,0,Technology
364,286,0,0,0,Business
365,293,0,0,0,Business
366,294,0,0,0,Business
367,301,0,0,0,Technology
368,306,0,0,0,Design
369,307,0,0,0,Business
370,311,0,0,0,Design
371,313,0,0,0,Technology
372,315,0,0,0,Business
373,321,0,0,0,Business
374,325,0,0,0,Business
375,327,0,0,0,Business
376,330,0,0,0,Technology
377,332,0,0,0,Business
378,333,0,0,0,Business
379,337,0,0,0,Business
380,342,0,0,0,Business
381,343,0,0,0,Business
382,344,0,0,1,Business
383,345,0,0,0,Technology
384,347,0,0,0,Business
385,352,0,0,0,Business
386,356,0,0,1,Technology
387,359,0,0,0,Business
388,365,0,0,0,Technology
389,366,0,0,1,Design
390,369,0,0,1,Business
391,377,0,0,0,Business
392,379,0,0,0,Technology
393,382,0,0,0,Business
394,383,0,0,0,Business
395,392,0,0,0,Technology
396,393,0,0,0,
397,394,0,0,0,Technology
398,396,0,0,0,Technology
399,398,0,0,0,Business
